0.00,0.52,0.60,0.58,0.37,0.60,0.65,0.65,0.55,0.45,0.45,0.42,0.62,0.53,0.63,0.48,0.45,0.70,0.58,0.77,0.75
0.48,0.00,0.28,0.40,0.55,0.45,0.53,0.42,0.35,0.62,0.63,0.58,0.40,0.62,0.47,0.65,0.60,0.50,0.75,0.55,0.53
0.60,0.28,0.00,0.23,0.62,0.27,0.43,0.17,0.27,0.55,0.63,0.52,0.38,0.45,0.30,0.48,0.55,0.37,0.63,0.47,0.42
0.52,0.35,0.22,0.00,0.42,0.15,0.22,0.27,0.33,0.37,0.45,0.33,0.37,0.32,0.18,0.37,0.37,0.27,0.50,0.40,0.37
0.37,0.55,0.63,0.50,0.00,0.52,0.57,0.60,0.58,0.32,0.13,0.28,0.65,0.45,0.55,0.40,0.32,0.60,0.45,0.73,0.70
0.57,0.47,0.27,0.17,0.47,0.00,0.18,0.25,0.32,0.40,0.48,0.38,0.35,0.30,0.03,0.35,0.40,0.25,0.48,0.38,0.33
0.62,0.53,0.42,0.30,0.50,0.22,0.00,0.37,0.43,0.45,0.55,0.43,0.48,0.23,0.18,0.28,0.45,0.32,0.42,0.52,0.43
0.65,0.43,0.18,0.28,0.57,0.25,0.38,0.00,0.20,0.50,0.58,0.47,0.28,0.40,0.28,0.45,0.50,0.23,0.58,0.33,0.28
0.55,0.38,0.27,0.35,0.62,0.33,0.45,0.22,0.00,0.58,0.67,0.55,0.15,0.45,0.37,0.50,0.57,0.23,0.63,0.33,0.28
0.47,0.67,0.58,0.43,0.30,0.45,0.48,0.52,0.57,0.00,0.32,0.13,0.62,0.37,0.47,0.32,0.05,0.52,0.20,0.65,0.60
0.45,0.68,0.72,0.55,0.15,0.57,0.62,0.65,0.70,0.28,0.00,0.20,0.75,0.50,0.60,0.45,0.28,0.65,0.42,0.78,0.73
0.47,0.65,0.57,0.42,0.28,0.43,0.47,0.50,0.57,0.17,0.18,0.00,0.62,0.37,0.47,0.32,0.17,0.52,0.28,0.63,0.60
0.62,0.45,0.40,0.43,0.68,0.42,0.53,0.30,0.18,0.67,0.75,0.63,0.00,0.53,0.45,0.58,0.65,0.32,0.72,0.20,0.30
0.55,0.63,0.45,0.33,0.45,0.33,0.32,0.42,0.48,0.42,0.50,0.38,0.53,0.00,0.33,0.18,0.40,0.32,0.33,0.52,0.45
0.60,0.48,0.30,0.18,0.50,0.03,0.15,0.28,0.33,0.43,0.52,0.40,0.38,0.30,0.00,0.35,0.43,0.28,0.50,0.42,0.37
0.53,0.67,0.48,0.37,0.43,0.35,0.33,0.43,0.50,0.38,0.47,0.35,0.55,0.18,0.35,0.00,0.38,0.35,0.30,0.55,0.47
0.47,0.67,0.60,0.43,0.30,0.45,0.50,0.52,0.58,0.05,0.32,0.13,0.62,0.37,0.48,0.33,0.00,0.52,0.25,0.65,0.62
0.67,0.50,0.33,0.27,0.57,0.25,0.35,0.20,0.23,0.50,0.58,0.47,0.28,0.32,0.28,0.35,0.50,0.00,0.50,0.30,0.27
0.60,0.80,0.65,0.53,0.43,0.52,0.50,0.60,0.67,0.17,0.43,0.28,0.72,0.35,0.52,0.30,0.20,0.52,0.00,0.72,0.63
0.77,0.60,0.43,0.43,0.73,0.43,0.55,0.30,0.35,0.67,0.75,0.63,0.20,0.50,0.47,0.55,0.67,0.32,0.70,0.00,0.23
0.75,0.58,0.43,0.43,0.73,0.42,0.48,0.28,0.33,0.65,0.75,0.63,0.30,0.43,0.45,0.48,0.65,0.30,0.63,0.27,0.00
